256
Atoms. Timestep: 66000
1 6.76462 6.75311 4.75273
1 6.74399 6.77007 8.83657
1 6.79786 6.78163 12.8619
1 6.78216 10.8291 0.641121
1 6.77209 10.8383 4.73139
1 6.77909 10.8144 8.8252
1 6.77751 10.8674 12.8831
1 6.74706 14.9164 16.9959
1 6.78713 14.934 4.71936
1 6.80643 14.9429 8.80337
1 6.75776 14.9029 12.8746
1 10.8094 2.65726 0.634972
1 10.8273 2.68105 4.67592
1 10.8322 2.69616 8.80337
1 10.8228 2.66402 12.8808
1 10.842 6.7537 16.9408
1 10.8097 6.79261 4.74605
1 10.857 6.77104 8.81212
1 10.848 6.76263 12.8729
1 10.8741 10.87 16.9765
1 10.8522 10.8389 4.69475
1 10.7993 10.794 8.79308
1 10.8512 10.8159 12.8442
1 10.8191 14.9281 16.9565
1 10.8217 14.9139 4.70209
1 10.8153 14.9109 8.80303
1 10.8163 14.9071 12.8873
1 14.9198 2.6819 16.943
1 14.913 2.67369 4.68759
1 14.9079 2.69698 8.80804
1 14.9306 2.67221 12.894
1 14.9304 6.73134 0.677088
1 14.9223 6.78608 4.73535
1 14.9712 6.79569 8.80957
1 14.9248 6.74519 12.8923
1 14.9185 10.839 16.9714
1 14.9573 10.8164 4.6993
1 14.9263 10.8362 8.83844
1 14.9344 10.8199 12.8845
1 14.9677 14.9321 16.9797
1 14.9294 14.9253 4.71771
1 14.8964 14.9217 8.86008
1 14.94 14.9134 12.8744
1 0.703295 16.978 16.9429
1 0.64859 16.9702 4.70751
1 0.625331 16.9823 8.81916
1 0.683994 0.670257 12.8567
1 16.9484 4.7234 0.674261
1 0.62426 4.73301 4.68395
1 0.65489 4.73116 8.80196
1 16.9787 4.73451 12.8653
1 16.9021 8.83036 0.652181
1 16.9652 8.81561 4.7376
1 0.70333 8.821 8.79977
1 0.633731 8.81032 12.8809
1 0.659808 12.864 16.9446
1 0.648878 12.888 4.7104
1 0.65352 12.8943 8.82926
1 0.663288 12.8873 12.8653
1 4.72449 0.659882 16.9304
1 4.71442 0.660194 4.72665
1 4.71925 0.654288 8.81884
1 4.71696 16.9361 12.8718
1 4.753 4.7355 0.685507
1 4.74793 4.69043 4.75592
1 4.69809 4.72725 8.80381
1 4.75425 4.74841 12.8715
1 4.74421 8.80614 0.679829
1 4.71241 8.80412 4.70316
1 4.70637 8.83268 8.79508
1 4.72259 8.83626 12.8894
1 4.69591 12.8725 16.9559
1 4.71251 12.8792 4.74208
1 4.72422 12.8871 8.80088
1 4.70562 12.8522 12.8614
1 8.81045 16.9415 16.9581
1 8.84801 0.682434 4.74103
1 8.82324 0.698965 8.80954
1 8.848 0.645898 12.8642
1 8.8211 4.7277 0.656092
1 8.83165 4.72784 4.73235
1 8.82165 4.7484 8.82138
1 8.84136 4.70772 12.873
1 8.82344 8.81543 0.681904
1 8.79967 8.78247 4.74733
1 8.77288 8.75791 8.82495
1 8.80624 8.80265 12.8743
1 8.80078 12.8751 17.0177
1 8.82474 12.8754 4.74774
1 8.80386 12.8594 8.82908
1 8.78398 12.8804 12.9233
1 12.8911 16.9581 16.9464
1 12.8792 0.670289 4.70558
1 12.8829 0.686527 8.80518
1 12.9098 0.673776 12.8742
1 12.8651 4.68743 0.677277
1 12.8797 4.76295 4.70092
1 12.8993 4.75497 8.77208
1 12.8798 4.70144 12.8564
1 12.8911 8.84217 0.6757
1 12.9072 8.82497 4.74553
1 12.9159 8.80385 8.7932
1 12.8821 8.81607 12.8801
1 12.9132 12.8929 16.9813
1 12.8822 12.8607 4.73776
1 12.8568 12.8526 8.81144
1 12.9234 12.8784 12.9066
256
Atoms. Timestep: 68000
1 0.686799 2.68028 2.66719
1 16.9239 2.66207 6.74827
1 0.639282 2.7064 10.7803
1 16.984 2.75572 14.8641
1 0.630796 6.75993 2.6676
1 16.9397 6.77789 6.71541
1 0.660663 6.79548 10.7872
1 16.9411 6.78407 14.8965
1 16.953 10.8401 2.68027
1 0.642484 10.8224 6.75891
1 0.641028 10.8446 10.8477
1 0.671927 10.8288 14.9201
1 0.661224 14.9216 2.71779
1 16.8934 14.9086 6.7581
1 0.623849 14.913 10.8453
1 0.67795 14.9497 14.908
1 4.72458 2.65965 2.7006
1 4.6799 2.63707 6.79185
1 4.70813 2.70297 10.7842
1 4.74668 2.70105 14.8964
1 4.70566 6.74134 2.64827
1 4.7006 6.74967 6.74773
1 4.72316 6.76829 10.8026
1 4.7541 6.77387 14.873
1 4.71329 10.8251 2.67929
1 4.73555 10.8071 6.73852
1 4.7742 10.8599 10.8413
1 4.75265 10.8184 14.9268
1 4.72794 14.9183 2.72402
